,Time,GaugeHeight_m,Flow,Source
1,4/13/2025 17:00,0.775900808,1.712966927,TimeView
2,4/13/2025 17:15,0.779952382,1.727527509,TimeView
3,4/13/2025 17:30,0.779952382,1.727527509,TimeView
4,4/13/2025 17:45,0.779952382,1.727527509,TimeView
5,4/13/2025 18:00,0.780965275,1.731175059,TimeView
6,4/13/2025 18:15,0.780965275,1.731175059,TimeView
7,4/13/2025 18:30,0.780965275,1.731175059,TimeView
8,4/13/2025 18:45,0.782991062,1.738479034,TimeView
9,4/13/2025 19:00,0.782991062,1.738479034,TimeView
10,4/13/2025 19:15,0.78805553,1.756790675,TimeView
11,4/13/2025 19:30,0.785016849,1.745794832,TimeView
12,4/13/2025 19:45,0.787042636,1.753122443,TimeView
13,4/13/2025 20:00,0.787042636,1.753122443,TimeView
14,4/13/2025 20:15,0.787042636,1.753122443,TimeView
15,4/13/2025 20:30,0.78805553,1.756790675,TimeView
16,4/13/2025 20:45,0.790081317,1.764135983,TimeView
17,4/13/2025 21:00,0.78805553,1.756790675,TimeView
18,4/13/2025 21:15,0.792107104,1.771493075,TimeView
19,4/13/2025 21:30,0.792107104,1.771493075,TimeView
20,4/13/2025 21:45,0.792107104,1.771493075,TimeView
21,4/13/2025 22:00,0.792107104,1.771493075,TimeView
22,4/13/2025 22:15,0.792107104,1.771493075,TimeView
23,4/13/2025 22:30,0.794132891,1.77886194,TimeView
24,4/13/2025 22:45,0.792107104,1.771493075,TimeView
25,4/13/2025 23:00,0.794132891,1.77886194,TimeView
26,4/13/2025 23:15,0.794132891,1.77886194,TimeView
27,4/13/2025 23:30,0.794132891,1.77886194,TimeView
28,4/13/2025 23:45,0.794132891,1.77886194,TimeView
29,4/14/2025,0.794132891,1.77886194,TimeView
30,4/14/2025 0:15,0.794132891,1.77886194,TimeView
31,4/14/2025 0:30,0.794132891,1.77886194,TimeView
32,4/14/2025 0:45,0.794132891,1.77886194,TimeView
33,4/14/2025 1:00,0.794132891,1.77886194,TimeView
34,4/14/2025 1:15,0.794132891,1.77886194,TimeView
35,4/14/2025 1:30,0.792107104,1.771493075,TimeView
36,4/14/2025 1:45,0.792107104,1.771493075,TimeView
37,4/14/2025 2:00,0.792107104,1.771493075,TimeView
38,4/14/2025 2:15,0.792107104,1.771493075,TimeView
39,4/14/2025 2:30,0.792107104,1.771493075,TimeView
40,4/14/2025 2:45,0.792107104,1.771493075,TimeView
41,4/14/2025 3:00,0.790081317,1.764135983,TimeView
42,4/14/2025 3:15,0.790081317,1.764135983,TimeView
43,4/14/2025 3:30,0.78805553,1.756790675,TimeView
44,4/14/2025 3:45,0.78805553,1.756790675,TimeView
45,4/14/2025 4:00,0.787042636,1.753122443,TimeView
46,4/14/2025 4:15,0.787042636,1.753122443,TimeView
47,4/14/2025 4:30,0.785016849,1.745794832,TimeView
48,4/14/2025 4:45,0.785016849,1.745794832,TimeView
49,4/14/2025 5:00,0.782991062,1.738479034,TimeView
50,4/14/2025 5:15,0.780965275,1.731175059,TimeView
51,4/14/2025 5:30,0.780965275,1.731175059,TimeView
52,4/14/2025 5:45,0.779952382,1.727527509,TimeView
53,4/14/2025 6:00,0.777926595,1.720241292,TimeView
54,4/14/2025 6:15,0.775900808,1.712966927,TimeView
55,4/14/2025 6:30,0.773875021,1.705704427,TimeView
56,4/14/2025 6:45,0.773875021,1.705704427,TimeView
57,4/14/2025 7:00,0.77083634,1.694832947,TimeView
58,4/14/2025 7:15,0.77083634,1.694832947,TimeView
59,4/14/2025 7:30,0.768810553,1.687600159,TimeView
60,4/14/2025 7:45,0.766784766,1.680379275,TimeView
61,4/14/2025 8:00,0.766784766,1.680379275,TimeView
62,4/14/2025 8:15,0.766784766,1.680379275,TimeView
63,4/14/2025 8:30,0.765771872,1.676773301,TimeView
64,4/14/2025 8:45,0.763746085,1.669570298,TimeView
65,4/14/2025 9:00,0.761720298,1.662379229,TimeView
66,4/14/2025 9:15,0.761720298,1.662379229,TimeView
67,4/14/2025 9:30,0.761720298,1.662379229,TimeView
68,4/14/2025 9:45,0.757668724,1.648032942,TimeView
69,4/14/2025 10:00,0.757668724,1.648032942,TimeView
70,4/14/2025 10:15,0.756655831,1.644453849,TimeView
71,4/14/2025 10:30,0.756655831,1.644453849,TimeView
72,4/14/2025 10:45,0.756655831,1.644453849,TimeView
73,4/14/2025 11:00,0.754630044,1.637304645,TimeView
74,4/14/2025 11:15,0.752604257,1.63016743,TimeView
75,4/14/2025 11:30,0.751591363,1.626603322,TimeView
76,4/14/2025 11:45,0.749565576,1.619484112,TimeView
77,4/14/2025 12:00,0.749565576,1.619484112,TimeView
78,4/14/2025 12:15,0.749565576,1.619484112,TimeView
79,4/14/2025 12:30,0.747539789,1.612376921,TimeView
80,4/14/2025 12:45,0.747539789,1.612376921,TimeView
81,4/14/2025 13:00,0.747539789,1.612376921,TimeView
82,4/14/2025 13:15,0.747539789,1.612376921,TimeView
83,4/14/2025 13:30,0.745514002,1.605281761,TimeView
84,4/14/2025 13:45,0.743488215,1.598198645,TimeView
85,4/14/2025 14:00,0.743488215,1.598198645,TimeView
86,4/14/2025 14:15,0.743488215,1.598198645,TimeView
87,4/14/2025 14:30,0.742475321,1.594661607,TimeView
88,4/14/2025 14:45,0.697908006,1.442039541,TimeView
89,4/14/2025 15:00,0.697908006,1.442039541,TimeView
90,4/14/2025 15:15,0.697908006,1.442039541,TimeView
91,4/14/2025 15:30,0.697908006,1.442039541,TimeView
92,4/14/2025 15:45,0.693856432,1.428458981,TimeView
